"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} ekziston tashmë.",
"${0} ${1} does not exist","${0} ${1} nuk ekziston",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} është ndryshuar pas ngarkimit, ju lutemi ringarkoni regjistrimin.",
"${0} ${1} is linked with existing records.","${0} ${1} është i lidhur me regjistrimet ekzistuese.",
"${0} account not set in Inventory Settings.","${0} llogaria nuk është caktuar në Parametrat e Inventarit.",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} është ruajtur tashmë",
"${0} already submitted","${0} është dërguar tashmë",
"${0} before ${1}",,
"${0} cancelled","${0} u anulua",
"${0} cannot be cancelled","${0} nuk mund të anulohet",
"${0} cannot be deleted","${0} nuk mund të fshihet",
"${0} deleted","${0} u fshi",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} regjistrime dështuan",
"${0} entries imported","${0} regjistrime u importuan",
"${0} entry failed","${0} regjistrim dështoi",
"${0} entry imported","${0} regjistrim u importua",
"${0} fields selected","${0} fusha të përzgjedhura",
"${0} filters applied","${0} filtra të aplikuar",
"${0} of type ${1} does not exist","${0} i llojit ${1} nuk ekziston",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}",,
"${0} party ${1} is different from ${2}",,
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows",,
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
