"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} قبلاً وجود دارد",
"${0} ${1} does not exist","${0} وجود ندارد",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} پس از بارگذاری تغییر کرده است، لطفاً ورودی را مجدداً بارگذاری کنید",
"${0} ${1} is linked with existing records.","${0} ${1} با سوابق موجود مرتبط است",
"${0} account not set in Inventory Settings.","حساب ${0} در تنظیمات موجودی تنظیم نشده است",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} قبلاً ذخیره شده است",
"${0} already submitted","${0} قبلاً ثبت شده است",
"${0} before ${1}",,
"${0} cancelled","${0} لغو شد",
"${0} cannot be cancelled","${0} قابل لغو نیست",
"${0} cannot be deleted","${0} قابل حذف نیست",
"${0} deleted","${0} حذف شد",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} ورودی‌ها ناموفق بودند",
"${0} entries imported","${0} ورودی وارد شد",
"${0} entry failed","${0} ورودی ناموفق بود",
"${0} entry imported","${0} ورودی وارد شد",
"${0} fields selected","${0} فیلد انتخاب شده",
"${0} filters applied","${0} فیلتر اعمال شد",
"${0} of type ${1} does not exist","${0} از نوع ${1} وجود ندارد",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} از ${1}",
"${0} party ${1} is different from ${2}","${0} طرف ${1} با ${2} متفاوت است",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","مقدار 1 ${0} اضافه شد",
"${0} row added.","${0} سطر اضافه شد",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} سطر",
"${0} rows added.","${0} سطر اضافه شد",
"${0} saved","${0} ذخیره شد",
"${0} shortcuts","${0} میانبرها",
"${0} stored at ${1}","${0} در ${1} ذخیره شد",
"${0} submitted","${0} ثبت شد",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","مقدار ${1} برای ${0} وجود ندارد",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,,
0.00,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 فیلتر اعمال شد",
1–30,,
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
31–60,,
61–90,,
91+,,
