"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} 已经存在",
"${0} ${1} does not exist","${0} ${1} 不存在",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} 已在加载后修改，请重新加载条目",
"${0} ${1} is linked with existing records.","${0} ${1} 与现有记录相关联",
"${0} account not set in Inventory Settings.",${0}未在“库存设置”中设置帐户,
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} 已保存",
"${0} already submitted","${0} 已提交",
"${0} before ${1}",,
"${0} cancelled","${0} 删除",
"${0} cannot be cancelled","${0} cannot be cancelled",
"${0} cannot be deleted","${0} 无法删除",
"${0} deleted","${0} 删除",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} 条目失败",
"${0} entries imported","${0} 导入的条目",
"${0} entry failed","${0} 条目失败",
"${0} entry imported","已导入 ${0} 条目",
"${0} fields selected","已选择 ${0} 个字段",
"${0} filters applied","已应用 ${0} 个筛选器",
"${0} of type ${1} does not exist","类型为 ${1} 的 ${0} 不存在",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} 共 ${1}",
"${0} party ${1} is different from ${2}","${0} 参与方 ${1} 与 ${2} 不同",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","添加了 ${0} 数量1",
"${0} row added.","已添加 ${0} 行",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} 行",
"${0} rows added.","已添加 ${0} 行",
"${0} saved","已保存 ${0}",
"${0} shortcuts","${0} 快捷方式",
"${0} stored at ${1}","${0} 存储在 ${1}",
"${0} submitted","已提交 ${0}",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","${0} 值 ${1} 不存在",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,0%,
0.00,,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","应用了 1 个过滤器",
1–30,,
2022-03-23,2022-03-23,
"23 Mar, 2022","23 03, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
31–60,,
61–90,,
91+,,
9888900000,电话号码,
"A submittable entry is deleted only if it is in the cancelled state.",只有当可提交条目处于取消状态时，才会删除该条目,
"API Base URL",,
Account,科目,
"Account ${0} does not exist.","账户 ${0} 不存在",
"Account Deleted",,
"Account Entries",帐户条目,
"Account Name",帐户名称,
"Account Type",帐户类型,
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,会计,
"Accounting Entries",会计分录,
"Accounting Ledger Entry",会计分类帐输入,
"Accounting Settings",会计设置,
Accounts,账户,
"Accounts Payable",应付账款,
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable",应收账款,
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation",累计折旧,
"Ack failed",,
"Ack pending",,
Action,活动,
Actions,,
Active,有效,
Add,,
"Add Account",添加帐户,
"Add Customers",添加客户,
"Add Group",添加组,
"Add Items",添加商品,
"Add Row",添加行,
"Add Suppliers",添加供应商,
"Add Taxes",加税,
"Add a few customers to create your first sales invoice",添加几个客户创建您的第一张销售订单,
"Add a few suppliers to create your first purchase invoice",添加一些供应商以创建您的第一张采购订单,
"Add a filter",添加过滤器,
"Add a missing transaction",,
"Add a remark",添加备注,
"Add attachment",添加附件,
"Add invoice terms",添加发票条款,
"Add products or services that you buy from your suppliers",添加您从供应商处购买的商品或服务,
"Add products or services that you sell to your customers",添加您向客户销售的商品或服务,
"Add quote terms",,
"Add transfer terms",添加转账条款,
"Add'l Discounts",,
"Added to ledger as ${0}.",,
"Added to ledger.",,
