"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} findes allerede.",
"${0} ${1} does not exist","${0} ${1} findes ikke",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} er blevet ændret efter indlæsning, genindlæs venligst posteringen.",
"${0} ${1} is linked with existing records.","${0} ${1} er linket med eksisterende poster.",
"${0} account not set in Inventory Settings.","${0} konto er opsat i Varelager opsætning.",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} allerede gemt",
"${0} already submitted","${0} allerede bogført",
"${0} before ${1}",,
"${0} cancelled","${0} annulleret",
"${0} cannot be cancelled","${0} kan ikke annulleres",
"${0} cannot be deleted","${0} kan ikke slettes",
"${0} deleted"," ""${0} slettet""",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} indtastninger mislykkedes",
"${0} entries imported","${0} indtastninger importeret",
"${0} entry failed","${0} indtastning mislykkedes",
"${0} entry imported","${0} indtastning importeret",
"${0} fields selected","${0} felter valgt",
"${0} filters applied","${0} filtre anvendt",
"${0} of type ${1} does not exist","${0} av type ${1} findes ikke",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} af ${1}",
"${0} party ${1} is different from ${2}","${0} partner ${1} skiller sig fra ${2}",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} mængde 1 tilføjet.",
"${0} row added.","${0} række tilføjet.",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} rækker",
"${0} rows added.","${0} rækker tilføjet.",
"${0} saved","${0} gemt",
"${0} shortcuts","${0} genveje",
"${0} stored at ${1}","${0} gemt på ${1}",
"${0} submitted","${0} bogført",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","${0} værdi ${1} findes ikke.",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,0%,
0.00,,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","1 filter anvendt",
1–30,,
2022-03-23,2022-03-23,
"23 Mar, 2022","23 mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
31–60,,
61–90,,
91+,,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.","En bogførbar post slettes kun, hvis den er i annulleret tilstand.",
"API Base URL",,
Account,konto,
"Account ${0} does not exist.","Konto ${0} findes ikke.",
"Account Deleted",,
"Account Entries",Kontoposter,
"Account Name",Kontonanv,
"Account Type",Kontotype,
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,Bogføring,
"Accounting Entries",Bogføringsposter,
"Accounting Ledger Entry",Bogføringspost,
"Accounting Settings","Bogførings indstillinger",
Accounts,Konti,
"Accounts Payable","Kontoer til betaling",
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable","Debitor konti",
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation","Akkumuleret afskrivning",
"Ack failed",,
"Ack pending",,
Action,Handling,
Actions,,
Active,Aktiv,
Add,,
"Add Account","Tilføj konto",
"Add Customers","Tilføj kunder",
"Add Group","Tilføj gruppe",
"Add Items","Tilføj elementer",
"Add Row","Tilføj række",
"Add Suppliers","Tilføj leverandører",
"Add Taxes","Tilføj skatter",
"Add a few customers to create your first sales invoice","Tilføj nogle kunder for at oprette din første salgsfaktura",
"Add a few suppliers to create your first purchase invoice","Tilføj nogle leverandører for at oprette din første købsfaktura",
"Add a filter","Tilføj et filter",
"Add a missing transaction",,
"Add a remark","Tilføj en bemærkning",
"Add attachment","Vedhæft fil",
"Add invoice terms","Tilføj fakturabetingelser",
"Add products or services that you buy from your suppliers","Tilføj produkter eller tjenester, som du køber fra dine leverandører",
"Add products or services that you sell to your customers","Tilføj produkter eller tjenester, som du sælger til dine kunder",
"Add quote terms",,
"Add transfer terms","Tilføj overførselsbetingelser",
"Add'l Discounts","Yderligere rabatter",
"Added to ledger as ${0}.",,
"Added to ledger.",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","Yderligere ${0} serienumre kræves for ${1} mængde af ${2}.",
