"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},${0},
"${0} ${1} already exists.","${0} ${1} ya existe.",
"${0} ${1} does not exist","${0} ${1} no existe",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} ha sido modificado después de cargar, por favor recargue la entrada.",
"${0} ${1} is linked with existing records.","${0} ${1} está vinculado con registros existentes.",
"${0} account not set in Inventory Settings.","La cuenta ${0} no está configurada en Configuración de Inventario.",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} ya guardado",
"${0} already submitted","${0} ya enviado",
"${0} before ${1}",,
"${0} cancelled","${0} cancelado",
"${0} cannot be cancelled","${0} no puede ser cancelado",
"${0} cannot be deleted","${0} no puede ser eliminado",
"${0} deleted","${0} eliminado",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} entradas fallidas",
"${0} entries imported","${0} entradas importadas",
"${0} entry failed","${0} entrada fallida",
"${0} entry imported","${0} entrada importada",
"${0} fields selected","${0} campos seleccionados",
"${0} filters applied","${0} filtros aplicados",
"${0} of type ${1} does not exist","${0} de tipo ${1} no existe",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} de ${1}",
"${0} party ${1} is different from ${2}","${0} parte ${1} es diferente de ${2}",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} cantidad 1 agregada.",
"${0} row added.","${0} fila agregada.",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} filas",
"${0} rows added.","${0} filas agregadas.",
"${0} saved","${0} guardado",
"${0} shortcuts","${0} atajos",
"${0} stored at ${1}","${0} almacenado en ${1}",
"${0} submitted","${0} enviado",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","El valor ${1} de ${0} no existe.",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,0%,
0.00,,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","1 filtro aplicado",
1–30,,
2022-03-23,2022-03-23,
"23 Mar, 2022","23 Mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
31–60,,
61–90,,
91+,,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.","Una entrada que se puede enviar solo se elimina si está en estado cancelado.",
"API Base URL",,
Account,Cuenta,
"Account ${0} does not exist.","La cuenta ${0} no existe.",
"Account Deleted",,
"Account Entries","Asientos de cuenta",
"Account Name","Nombre de la cuenta",
"Account Type","Tipo de cuenta",
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,Contabilidad,
"Accounting Entries","Asientos contables",
"Accounting Ledger Entry","Asiento de libro mayor",
"Accounting Settings","Configuración de Contabilidad",
Accounts,Cuentas,
"Accounts Payable","Cuentas por pagar",
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable","Cuentas por cobrar",
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation","Depreciación acumulada",
"Ack failed",,
"Ack pending",,
Action,Acción,
Actions,,
Active,Activo,
Add,,
"Add Account","Añadir cuenta",
"Add Customers","Añadir Clientes",
"Add Group","Añadir grupo",
"Add Items","Añadir artículos",
"Add Row","Añadir fila",
"Add Suppliers","Añadir proveedores",
"Add Taxes","Añadir impuestos",
"Add a few customers to create your first sales invoice","Añade algunos clientes para crear tu primera factura de venta",
"Add a few suppliers to create your first purchase invoice","Añade algunos proveedores para crear tu primera factura de compra",
"Add a filter","Añadir un filtro",
"Add a missing transaction",,
"Add a remark","Agregar una observación",
"Add attachment","Añadir adjunto",
"Add invoice terms","Añadir condiciones de la factura",
"Add products or services that you buy from your suppliers","Añade productos o servicios que compras a tus proveedores",
"Add products or services that you sell to your customers","Añade productos o servicios que vendes a tus clientes",
"Add quote terms",,
"Add transfer terms","Agregar términos de transferencia",
"Add'l Discounts","Descuentos adicionales",
"Added to ledger as ${0}.",,
"Added to ledger.",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","Se requieren ${0} números de serie adicionales para ${1} cantidad de ${2}.",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","Cantidad adicional (${0}) requerida${1} para realizar la transferencia de salida del artículo ${2} desde ${3} el ${4}",
Address,Dirección,
"Address Display","Visualización de dirección",
"Address Line 1","Línea de dirección 1",
"Address Line 2","Línea de dirección 2",
"Address Name","Nombre de la dirección",
"Adjust interface size in 10% steps",,
"Administrative Expenses","Gastos Administrativos",
Alert,,
All,Todo,
"Allow to bypass filters",,
Amount,Importe,
"Amount (bank)",,
"Amount Paid","Importe pagado",
"Amount must be greater than 0.",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Cantidad: ${0} y cancelación: ${1} es menor que la cantidad total asignada a las referencias: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Cantidad: ${0} es menor que la cantidad total asignada a las referencias: ${1}.",
Amounts,Importes,
"An account with this name already exists.",,
"An entry is cancelled only if it is in the submitted state.","Una entrada se cancela solo si está en estado enviado.",
"An entry is submitted only if it is submittable and is in the saved state.","Una entrada se envía solo si es enviable y está en estado guardado.",
"An error occurred.","Ocurrió un error.",
And,,
Annual,,
"Applicable anywhere in LiveBooks Desktop",,
"Applicable when POS is open",,
"Applicable when Quick Search is open","Aplicable cuando la búsqueda rápida está abierta",
"Applicable when Template Builder is open","Aplicable cuando el generador de plantillas está abierto",
"Applicable when a entry is open in the Form view or Quick Edit view","Aplicable cuando una entrada está abierta en la vista de formulario o edición rápida",
"Applicable when the List View of an entry type is open","Aplicable cuando la vista de lista de un tipo de entrada está abierta",
"Application of Funds (Assets)","Aplicación de Fondos (Activos)",
"Applied Coupon Codes",,
"Applied Items",,
"Applied count",,
Apply,,
"Apply Discount After Tax","Aplicar descuento después de impuestos",
"Apply Price List",,
"Apply and view changes made to the print template","Aplicar y ver los cambios realizados en la plantilla de impresión",
Applying,,
"Applying bank feed updates…",,
April,Abril,
"Archive account",,
"Archive account and disconnect bank from Plaid?",,
"Archive and disconnect institution",,
"Archive this account?",,
"Archived bank accounts stay in the ledger for history but are hidden from bank feeds and most pickers.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. Automatic imports for this Plaid sub-account stop; other linked accounts under ${1} can keep syncing.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. This is the last sub-account still syncing under ${1}; archiving will also disconnect the entire institution from Plaid until you connect the bank again.",,
"Archiving hides this account from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded.",,
Arial,Arial,
"As Of Date",,
"As of",,
"Ascending Order","Orden ascendente",
Asset,Activo,
"Attach Image","Adjuntar imagen",
Attachment,Adjunto,
"Attempt count",,
August,Agosto,
"Auth Token",,
"Auto Payments","Pagos automáticos",
"Auto Stock Transfer","Transferencia automática de inventario",
"Auto-stage new Plaid batches into Bank Account Activity (For Review).",,
Autocomplete,Autocompletar,
"Automatic updates are not enabled for this build.",,
"Available Loyalty Points",,
Back,Atrás,
"Back Reference","Referencia inversa",
"Bad import data, could not read file.","Datos de importación incorrectos, no se pudo leer el archivo.",
Balance,Balance,
"Balance Amount","Cantidad de balance",
"Balance Sheet","Balance general",
"Balance as of today",,
Balanced,,
Bank,Banco,
"Bank Account Activity",,
"Bank Accounts","Cuentas Bancarias",
"Bank Entry","Entrada bancaria",
"Bank Feed",,
"Bank Feed Settings",,
"Bank Name","Nombre del banco",
"Bank Overdraft Account","Cuenta de sobregiro bancario",
"Bank Statement",,
"Bank Statement Line",,
"Bank account",,
"Bank account balance",,
"Bank account created, but the opening balance could not be posted: ${0}",,
"Bank account name",,
"Bank feed",,
"Bank feed catch-up paused",,
"Bank feed updates applied to For Review.",,
"Bank feeds paused — acknowledge old import batches in Desktop to resume.",,
"Bank feeds paused — open Desktop and acknowledge old import batches to resume.",,
"Bank institution disconnected from Plaid. You can still use manual CSV uploads.",,
"Bank linked. Accounts will appear below after a short sync.",,
"Bank reference",,
"Bank sync paused. Verify your identity in LiveBooks Cloud to resume downloading transactions.",,
Banking,,
Barcode,"Código de barras",
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total","Total general base",
"Based On","Basado en",
Batch,Lote,
"Batch ${0} does not belong to Item ${1}",,
"Batch ${0} only has ${1} quantity available but ${2} is required",,
"Batch Series",,
"Batch Series cannot contain the following characters: /, ?, &, =, %",,
"Batch not set for row ${0}.","Lote no establecido para la fila ${0}.",
"Batch public id",,
"Batch set for row ${0}.","Lote establecido para la fila ${0}.",
"Beginning balance",,
"Beginning balance does not match your last closed reconciliation. A reconciled transaction may have been edited or deleted.",,
"Beginning balance may be off",,
Bill,,
"Bill Created","Factura creada",
Billing,Facturación,
Billion,,
Bills,,
Black,Negro,
Blue,Azul,
"Book Id",,
"Book id",,
Both,Ambos,
"Both From and To Location cannot be undefined","Tanto la ubicación de origen como la de destino no pueden estar indefinidas.",
Buildings,Edificios,
"Can Change Discount",,
"Can Change Rate",,
Cancel,Cancelar,
"Cancel ${0}?","¿Cancelar ${0}?",
"Cancel Button Colour",,
"Cancel or Delete an entry.","Cancelar o eliminar una entrada.",
Cancelled,Cancelado,
"Cannot Commit Error","No se puede confirmar el error.",
"Cannot Delete","No se puede eliminar.",
"Cannot Delete Account","No se puede eliminar la cuenta.",
"Cannot Export","No se puede exportar.",
"Cannot Import","No se puede importar.",
"Cannot Move",,
"Cannot Open File","No se puede abrir el archivo.",
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","No se puede cancelar ${0} ${1} debido a lo siguiente ${2}: ${3}",
"Cannot cancel ${0} because of the following ${1}: ${2}","No se puede cancelar ${0} debido a lo siguiente ${1}: ${2}",
"Cannot delete ""${0}"" because it has linked ledger entries or other references.",,
"Cannot delete ${0} ""${1}"" because of linked entries.","No se puede eliminar ${0} ""${1}"" debido a entradas vinculadas.",
"Cannot make recurring",,
"Cannot open file","No se puede abrir el archivo.",
"Cannot perform operation.","No se puede realizar la operación.",
"Cannot read file","No se puede leer el archivo.",
"Capital Equipments","Equipos de capital",
"Capital Stock","Capital Social",
Cash,Efectivo,
"Cash Denominations","Denominaciones de efectivo",
"Cash Entry","Entrada en efectivo",
"Cash In Denominations",,
"Cash In Hand","Efectivo en mano",
Cashflow,"Flujo de caja",
Category,,
"Category is required.",,
Ceil,,
"Central Tax","Impuesto Central",
"Change File","Cambiar archivo",
"Change Ref Type","Cambiar tipo de referencia",
"Changes made to settings will be visible on reload.","Los cambios realizados en la configuración serán visibles al recargar.",
Chargeable,Cobrable,
"Chart Of Accounts Reviewed","Plan de cuentas revisado",
"Chart of Accounts","Plan de cuentas",
"Chart of accounts (bank)",,
Check,Chequeo,
"Check Digits",,
"Check for updates",,
"Checked in the reconcile workbench for this session.",,
"Checking for updates…",,
"Check Register",,
"Choose a chart of accounts bank account before saving.",,
"City / Town","Ciudad / Pueblo",
Classic,,
Clear,Limpiar,
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date","Fecha de liquidación",
"Clearance Date not set.",,
Cleared,,
"Cleared balance",,
"Click Refresh to retry. If retries keep failing, contact support.",,
"Clicking continue will remove all the selected items.",,
"Client Seq",,
Close,Cerrar,
"Close LiveBooks Desktop and try manually.",,
"Close POS Shift",,
"Close Quick Search",,
Closed,,
"Closed at",,
Closing,,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","Cierre (Cr)",
"Closing (Dr)","Cierre (Dr)",
"Closing Amount",,
"Closing Amounts",,
"Closing Cash",,
"Closing Cash In Denominations",,
"Closing Date",,
"Closing balance on your statement (the target).",,
"Cloud statement id",,
Collapse,,
"Collection Factor",,
"Collection Rules",,
Color,Color,
Colour,,
"Column mapping",,
"Commission on Sales","Comisión sobre Ventas",
Common,Común,
Company,Empresa,
"Company Logo","Logotipo de la empresa",
"Company Name","Nombre de la empresa",
"Company Setup","Configuración de la empresa",
"Company file moved to ${0}.",,
"Company file moved to ${0}. The previous file could not be retired — please remove or rename it manually so it is not opened as a second copy.",,
Completed,Completado,
Condition,Condición,
"Connect Banks via Plaid",,
"Connection broken — sign in again.",,
"Connection healthy",,
"Consolidate Columns","Consolidar columnas",
Contact,,
Contacts,Contactos,
Contains,Contiene,
"Content hash",,
Continue,,
"Continue submitting Invoice?",,
"Continue submitting Sales Invoice?","¿Continuar enviando la factura de venta?",
"Contra Entry","Entrada contraria",
"Conversion Error","Error de conversión",
"Conversion Factor","Factor de conversión",
Converted,,
"Cost Of Goods Sold Acc.","Cuenta de costo de bienes vendidos",
"Cost of Goods Sold","Costo de los bienes vendidos",
"Could not add transaction.",,
"Could not check for updates.",,
"Could not connect to database file ${0}, please select the file manually","No se pudo conectar al archivo de base de datos ${0}, por favor seleccione el archivo manualmente.",
"Could not disconnect bank feeds in LiveBooks Cloud. The local company file will still be deleted.",,
"Could not open the company at ${0}. Please reopen it from the company list.",,
"Could not re-fetch prior bank batches. Upload a CSV/OFX if history is missing.",,
"Could not reach the update server. Check your connection and try again.",,
"Could not reactivate feed.",,
"Could not resolve your cloud book for this company file.",,
"Could not save bank connection.",,
"Could not start Plaid Link.",,
"Couldn't find a parent account in the chart of accounts. Add a Bank Accounts (or Liability) group first.",,
"Couldn't finish setting up the bank account.",,
"Couldn't load transactions.",,
"Couldn't save the bank account. Please try again.",,
"Couldn't save the bank account: ${0}",,
"Couldn't save the statement. Please try again.",,
Count,Contar,
"Counter Cash Account","Cuenta de efectivo del mostrador",
Country,País,
"Country Code","Código de país",
"Country code used to initialize regional settings.","Código de país utilizado para inicializar la configuración regional.",
"Coupon ${0} is not applicable for applied items.",,
"Coupon Code",,
"Coupon Name",,
Coupons,,
Courier,Mensajero,
Cr.,Cr.,
"Cr. ${0}","Cr. ${0}",
Create,Crear,
"Create Demo","Crear Demo",
"Create Payment.",,
"Create Purchase","Crear compra",
"Create Purchase Invoice","Añadir facturas de compras",
"Create Sale","Crear venta",
"Create Sales Invoice","Añadir facturas de ventas",
"Create a demo company to try out LiveBooks Desktop",,
"Create a new company and store it on your computer","Cree una nueva empresa y guárdela en su computadora",
"Create a new company or select an existing one from your computer","Cree una nueva empresa o seleccione una existente desde su computadora",
"Create a new entry of the same type as the List View","Crear una nueva entrada del mismo tipo que la vista de lista",
"Create all due",,
"Create new ${0} entry?","¿Crear nueva entrada de ${0}?",
"Create your first purchase invoice from the created supplier","Cree su primer factura de compra",
"Create your first sales invoice for the created customer","Cree su primer factura de venta",
"Create: ${0}",,
Created,Creado,
"Created ${0} recurring payments",,
"Created 1 recurring payment",,
"Created At",,
"Created By","Creado por",
"Created recurring payment",,
"Creating Items and Parties","Creando artículos y partes",
"Creating Journal Entries","Creando asientos de diario",
"Creating Purchase Invoices","Creando facturas de compra",
Credit,Crédito,
"Credit Card Entry","Entrada de tarjeta de crédito",
"Credit Note","Nota de crédito",
"Credit card",,
"Credit column (optional)",,
Creditors,Acreedores,
Currency,Moneda,
"Currency Name","Nombre de la moneda",
Current,Actual,
"Current Assets","Activo corriente",
"Current Liabilities","Pasivo corriente",
"Custom Field","Campo personalizado",
"Custom Fields","Campos personalizados",
"Custom Form","Formulario personalizado",
"Custom Hex","Hex personalizado",
Customer,Cliente,
"Customer / vendor",,
"Customer Created","Creado por el cliente",
"Customer Currency","Moneda del cliente",
"Customer has no loyalty points to redeem",,
Customers,Clientes,
"Customers & Suppliers",,
Customizations,Personalizaciones,
"Customize Form","Personalizar formulario",
"Customize your invoices by adding a logo and address details","Personalice sus facturas agregando un logotipo y detalles de la dirección",
Daily,,
"Dark mode",,
Dashboard,Tablero,
Data,Datos,
"Data Sync Interval (In Minutes)",,
"Database Error","Error de base de datos",
Date,Fecha,
"Date Format","Formato de fecha",
"Date Time","Fecha y hora",
Day,Día,
Days,,
Debit,Débito,
"Debit Note","Nota de débito",
"Debit column (optional)",,
Debtors,Deudores,
December,Diciembre,
"Decrease print template display scale",,
Default,Predeterminado,
"Default Account","Cuenta predeterminada",
"Default Cash Denominations","Denominaciones de efectivo predeterminadas",
"Default Location","Ubicación predeterminada",
Defaults,Predeterminados,
Delete,Eliminar,
"Delete ${0}?","¿Eliminar ${0}?",
"Delete Account","Eliminar cuenta",
"Delete Failed","Error al eliminar",
"Delete Group","Eliminar grupo",
"Delete Permanently",,
"Delete account",,
"Delete account and disconnect bank from Plaid?",,
"Delete and disconnect institution",,
"Delete this account?",,
"Deleted ${0} account(s).",,
"Deleted imported lines by mistake? Re-queue batches LiveBooks Cloud still has (typically within 90 days). This replays saved imports — it does not fetch brand-new bank history from Plaid or undo journals you posted. Then open Bank Account Activity for each mapped ledger account.",,
Delivered,Entregado,
Denomination,Denominación,
Deposit,,
"Deposits and income (match the deposits column on your statement).",,
Depreciation,Depreciación,
"Depreciation Entry","Entrada de depreciación",
Description,Descripción,
Details,Detalles,
"Device ID",,
"Device Id",,
"Device is offline. Please connect to a network to continue.",,
Difference,,
"Difference Amount","Cantidad de diferencia",
"Direct Expenses","Gastos Directos",
