"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},${0},
"${0} ${1} already exists."," ""${0} ${1} sudah ada.""",
"${0} ${1} does not exist"," ""${0} ${1} tidak ada.""",
"${0} ${1} has been modified after loading please reload entry."," ""${0} ${1} telah diubah setelah dimuat, silakan muat ulang entri.""",
"${0} ${1} is linked with existing records."," ""${0} ${1} terhubung dengan catatan yang sudah ada.""",
"${0} account not set in Inventory Settings."," ""Akun ${0} belum disetel di Pengaturan Inventaris.""",
"${0} account(s) could not be deleted:",,
"${0} already applied."," ""${0} sudah diterapkan.""",
"${0} already saved"," ""${0} sudah disimpan.""",
"${0} already submitted"," ""${0} sudah dikirim.""",
"${0} before ${1}",,
"${0} cancelled"," ""${0} dibatalkan.""",
"${0} cannot be cancelled"," ""${0} tidak dapat dibatalkan.""",
"${0} cannot be deleted"," ""${0} tidak dapat dihapus.""",
"${0} deleted"," ""${0} dihapus.""",
"${0} duplicate(s) skipped.",,
"${0} entries failed"," ""${0} entri gagal.""",
"${0} entries imported"," ""${0} entri diimpor.""",
"${0} entry failed"," ""${0} entri gagal.""",
"${0} entry imported"," ""${0} entri diimpor.""",
"${0} fields selected"," ""${0} bidang dipilih.""",
"${0} filters applied"," ""${0} filter diterapkan.""",
"${0} of type ${1} does not exist"," ""${0} dengan jenis ${1} tidak ada.""",
"${0} only has ${1} points"," ""${0} hanya memiliki ${1} poin.""",
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}"," ""${0} dari ${1}.""",
"${0} party ${1} is different from ${2}"," ""${0} pihak ${1} berbeda dari ${2}.""",
"${0} pending at bank",,
"${0} quantity ${1} added."," ""${0} sejumlah ${1} ditambahkan.""",
"${0} quantity 1 added."," ""${0} sejumlah 1 ditambahkan.""",
"${0} row added."," ""${0} baris ditambahkan.""",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows"," ""${0} baris.""",
"${0} rows added."," ""${0} baris ditambahkan.""",
"${0} saved"," ""${0} disimpan.""",
"${0} shortcuts"," ""${0} pintasan.""",
"${0} stored at ${1}"," ""${0} disimpan di ${1}.""",
"${0} submitted"," ""${0} dikirim.""",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist."," ""Nilai ${0} ${1} tidak ada.""",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
