"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.",,
"${0} ${1} does not exist",,
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} 가 기록과 연결되었습니다.",
"${0} account not set in Inventory Settings.",,
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved",,
"${0} already submitted",,
"${0} before ${1}",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} duplicate(s) skipped.",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected",,
"${0} filters applied","${0} 필터가 적용되었습니다.",
"${0} of type ${1} does not exist",,
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} ${1} 을 벗어났습니다.",
"${0} party ${1} is different from ${2}",,
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} 행",
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.",,
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,,
0.00,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1개의 필터가 적용되었습니다.",
1–30,,
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
31–60,,
61–90,,
91+,,
9888900000,"02 1234 5678",
"A submittable entry is deleted only if it is in the cancelled state.",,
"API Base URL",,
Account,계정,
"Account ${0} does not exist.",,
"Account Deleted",,
"Account Entries","계정 정보",
"Account Name","계정 이름",
"Account Type","계정 타입",
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,,
"Accounting Entries",,
"Accounting Ledger Entry","회계 원장 정보",
"Accounting Settings","회계 설정",
Accounts,계정,
"Accounts Payable","결제가능한 계정",
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable","거래처 계정",
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation","누적 감가상각",
"Ack failed",,
"Ack pending",,
Action,,
Actions,,
Active,,
Add,,
"Add Account","계좌 추가",
"Add Customers","고객 추가",
"Add Group","그룹 추가",
"Add Items","아이템 추가",
"Add Row","행 추가",
"Add Suppliers","공급자 추가",
"Add Taxes","세금 추가",
"Add a few customers to create your first sales invoice","첫 구매 인보이스 생성와 함께 여러 고객 추가",
"Add a few suppliers to create your first purchase invoice","첫 결제 인보이스 생성과 함께 여러 공급자 추가",
"Add a filter","필터 추가",
"Add a missing transaction",,
"Add a remark","참고사항 추가",
"Add attachment",,
"Add invoice terms","인보이스 조건 추가",
"Add products or services that you buy from your suppliers","공급받은 물건 또는 용역 추가",
"Add products or services that you sell to your customers","공급한 물건 또는 용역 추가",
"Add quote terms",,
"Add transfer terms",,
"Add'l Discounts",,
"Added to ledger as ${0}.",,
"Added to ledger.",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,주소,
"Address Display","표시되는 주소",
"Address Line 1","주소 1",
"Address Line 2","주소 2",
"Address Name",,
"Adjust interface size in 10% steps",,
"Administrative Expenses","관리 비용",
Alert,,
All,모든,
"Allow to bypass filters",,
Amount,총액,
"Amount (bank)",,
"Amount Paid",지불액,
"Amount must be greater than 0.",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Amount: ${0} is less than the total amount allocated to references: ${1}.",
Amounts,,
"An account with this name already exists.",,
"An entry is cancelled only if it is in the submitted state.",,
"An entry is submitted only if it is submittable and is in the saved state.",,
"An error occurred.","오류가 발생하였습니다.",
And,,
Annual,,
"Applicable anywhere in LiveBooks Desktop",,
"Applicable when POS is open",,
"Applicable when Quick Search is open",,
"Applicable when Template Builder is open",,
"Applicable when a entry is open in the Form view or Quick Edit view",,
"Applicable when the List View of an entry type is open",,
"Application of Funds (Assets)","자금 운용 (자산)",
"Applied Coupon Codes",,
"Applied Items",,
"Applied count",,
Apply,,
"Apply Discount After Tax",,
"Apply Price List",,
"Apply and view changes made to the print template",,
Applying,,
"Applying bank feed updates…",,
April,,
"Archive account",,
"Archive account and disconnect bank from Plaid?",,
"Archive and disconnect institution",,
"Archive this account?",,
"Archived bank accounts stay in the ledger for history but are hidden from bank feeds and most pickers.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. Automatic imports for this Plaid sub-account stop; other linked accounts under ${1} can keep syncing.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. This is the last sub-account still syncing under ${1}; archiving will also disconnect the entire institution from Plaid until you connect the bank again.",,
"Archiving hides this account from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded.",,
Arial,,
"As Of Date",,
"As of",,
"Ascending Order",오름차순,
Asset,자산,
"Attach Image",,
Attachment,,
"Attempt count",,
August,,
"Auth Token",,
"Auto Payments",,
"Auto Stock Transfer",,
"Auto-stage new Plaid batches into Bank Account Activity (For Review).",,
Autocomplete,,
"Automatic updates are not enabled for this build.",,
"Available Loyalty Points",,
Back,,
"Back Reference",,
"Bad import data, could not read file.",,
Balance,잔액,
"Balance Amount",,
"Balance Sheet",대차대조표,
"Balance as of today",,
Balanced,,
Bank,은행,
"Bank Account Activity",,
"Bank Accounts","은행 계좌",
"Bank Entry","은행 정보",
"Bank Feed",,
"Bank Feed Settings",,
"Bank Name",은행명,
"Bank Overdraft Account","당좌대월 은행 계좌 (마이너스)",
"Bank Statement",,
"Bank Statement Line",,
"Bank account",,
"Bank account balance",,
"Bank account created, but the opening balance could not be posted: ${0}",,
"Bank account name",,
"Bank feed",,
"Bank feed catch-up paused",,
"Bank feed updates applied to For Review.",,
"Bank feeds paused — acknowledge old import batches in Desktop to resume.",,
"Bank feeds paused — open Desktop and acknowledge old import batches to resume.",,
"Bank institution disconnected from Plaid. You can still use manual CSV uploads.",,
"Bank linked. Accounts will appear below after a short sync.",,
"Bank reference",,
"Bank sync paused. Verify your identity in LiveBooks Online to resume downloading transactions.",,
Banking,,
Barcode,,
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total",,
"Based On",기반,
Batch,,
"Batch ${0} does not belong to Item ${1}",,
