"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},${0},
"${0} ${1} already exists.","${0} ${1} موجودة من قبل.",
"${0} ${1} does not exist","${0} ${1} غير موجود",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} تم تعديله بعد التحميل يرجى إعادة تحميل الإدخال.",
"${0} ${1} is linked with existing records.","${0} ${1} مرطبت بسجل موجود.",
"${0} account not set in Inventory Settings.","${0} لم يتم تعيين الحساب في إعدادات المخزون.",
"${0} account(s) could not be deleted:",,
"${0} already applied.","تم تطبيق ${0} بالفعل.",
"${0} already saved","${0} تم حفظ بالفعل",
"${0} already submitted","${0} تم الارسال بالفعل",
"${0} before ${1}","${0} قبل ${1}",
"${0} cancelled","${0} تم الالغاء",
"${0} cannot be cancelled","${0} لا يمكن الالغاء",
"${0} cannot be deleted","${0} لا يمكن الحذف",
"${0} deleted","${0} تم الحذف",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} فشل الادخال",
"${0} entries imported","${0} الإدخالات المستوردة",
"${0} entry failed","${0} فشل الإدخال",
"${0} entry imported","${0} الإدخال مستورد",
"${0} fields selected","${0} الحقول المحددة",
"${0} filters applied","${0} تم تطبيق الفيلتر",
"${0} of type ${1} does not exist","${0} من النوع ${1} غير موجود",
"${0} only has ${1} points","${0} لديه ${1} نقطة فقط",
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} من أصل ${1}",
"${0} party ${1} is different from ${2}","${0} الطرف ${1} يختلف عن ${2}",
"${0} pending at bank",,
"${0} quantity ${1} added.","تمت إضافة كمية ${1} من ${0}.",
"${0} quantity 1 added.","تمت إضافة كمية ${0} عدد 1.",
"${0} row added.","تمت إضافة صف ${0}.",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} صفوف",
"${0} rows added.","تمت إضافة ${0} صفوف.",
"${0} saved","تم حفظ ${0}",
"${0} shortcuts","${0} اختصارات",
"${0} stored at ${1}","تم تخزين ${0} في ${1}",
"${0} submitted","تم تسجيل ${0}",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","قيمة ${0} ${1} غير موجودة.",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,0%,
0.00,,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","تم تطبيق فلتر واحد",
1–30,,
2022-03-23,2022-03-23,
"23 Mar, 2022","23 Mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
31–60,,
61–90,,
91+,,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.","يُحذف الإدخال القابل للتسجيل فقط إذا كان في حالة ملغاة.",
"API Base URL","عنوان URL الأساسي لواجهة برمجة التطبيقات",
Account,الحساب,
"Account ${0} does not exist.","الحساب ${0} غير موجود.",
"Account Deleted",,
"Account Entries","إدخالات الحساب",
"Account Name","اسم الحساب",
"Account Type","نوع الحساب",
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,المحاسبة,
"Accounting Entries","إدخالات المحاسبة",
"Accounting Ledger Entry","قيد دفتر الأستاذ المحاسبي",
"Accounting Settings","إعدادات المحاسبة",
Accounts,الحسابات,
"Accounts Payable","الحسابات الدائنة",
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable","الحسابات المدينة",
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation","الاستهلاك المتراكم",
"Ack failed",,
"Ack pending",,
Action,إجراء,
Actions,,
Active,نشط,
Add,,
"Add Account","إضافة حساب",
"Add Customers","إضافة عملاء",
"Add Group","إضافة مجموعة",
"Add Items","إضافة أصناف",
"Add Row","إضافة صف",
"Add Suppliers","إضافة موردين",
"Add Taxes","إضافة ضرائب",
"Add a few customers to create your first sales invoice","أضف بعض العملاء لإنشاء أول فاتورة مبيعات لك",
"Add a few suppliers to create your first purchase invoice","أضف بعض الموردين لإنشاء أول فاتورة شراء لك",
"Add a filter","إضافة عامل تصفية",
"Add a missing transaction",,
"Add a remark","إضافة ملاحظة",
"Add attachment","إضافة مرفق",
"Add invoice terms","إضافة شروط الفاتورة",
"Add products or services that you buy from your suppliers","أضف المنتجات أو الخدمات التي تشتريها من الموردين",
"Add products or services that you sell to your customers","أضف المنتجات أو الخدمات التي تبيعها لعملائك",
"Add quote terms","إضافة شروط عرض السعر",
"Add transfer terms","إضافة شروط التحويل",
"Add'l Discounts","خصومات إضافية",
"Added to ledger as ${0}.",,
"Added to ledger.",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","هناك حاجة إلى ${0} أرقام تسلسلية إضافية لكمية ${1} من ${2}.",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","الكمية الإضافية (${0}) المطلوبة${1} لإجراء تحويل خارجي للصنف ${2} من ${3} بتاريخ ${4}",
Address,العنوان,
"Address Display","عرض العنوان",
"Address Line 1","سطر العنوان 1",
"Address Line 2","سطر العنوان 2",
"Address Name","اسم العنوان",
"Adjust interface size in 10% steps",,
"Administrative Expenses","مصاريف إدارية",
Alert,تنبيه,
All,الكل,
"Allow to bypass filters","السماح بتجاوز عوامل التصفية",
Amount,المبلغ,
"Amount (bank)",,
"Amount Paid","المبلغ المدفوع",
"Amount must be greater than 0.",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","المبلغ: ${0} والشطب: ${1} أقل من إجمالي المبلغ المخصص للمراجع: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","المبلغ: ${0} أقل من إجمالي المبلغ المخصص للمراجع: ${1}.",
Amounts,المبالغ,
"An account with this name already exists.",,
"An entry is cancelled only if it is in the submitted state.","يُلغى الإدخال فقط إذا كان في حالة مسجَّلة.",
"An entry is submitted only if it is submittable and is in the saved state.","يُسجَّل الإدخال فقط إذا كان قابلاً للتسجيل وفي حالة محفوظة.",
"An error occurred.","حدث خطأ",
And,و,
Annual,,
"Applicable anywhere in LiveBooks Desktop",,
"Applicable when POS is open","ينطبق عند فتح نقطة البيع",
"Applicable when Quick Search is open","ينطبق عند فتح البحث السريع",
"Applicable when Template Builder is open","ينطبق عند فتح منشئ القوالب",
"Applicable when a entry is open in the Form view or Quick Edit view","ينطبق عند فتح إدخال في عرض النموذج أو عرض التحرير السريع",
"Applicable when the List View of an entry type is open","ينطبق عند فتح عرض القائمة لنوع الإدخال",
"Application of Funds (Assets)","تطبيق الأموال (الأصول)",
"Applied Coupon Codes","رموز القسائم المطبقة",
"Applied Items","الأصناف المطبقة",
"Applied count",,
Apply,تطبيق,
"Apply Discount After Tax","تطبيق الخصم بعد الضريبة",
"Apply Price List","تطبيق قائمة الأسعار",
"Apply and view changes made to the print template","تطبيق وعرض التغييرات التي تم إجراؤها على قالب الطباعة",
Applying,,
"Applying bank feed updates…",,
April,أبريل,
"Archive account",,
"Archive account and disconnect bank from Plaid?",,
"Archive and disconnect institution",,
"Archive this account?",,
"Archived bank accounts stay in the ledger for history but are hidden from bank feeds and most pickers.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. Automatic imports for this Plaid sub-account stop; other linked accounts under ${1} can keep syncing.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. This is the last sub-account still syncing under ${1}; archiving will also disconnect the entire institution from Plaid until you connect the bank again.",,
"Archiving hides this account from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded.",,
Arial,Arial,
"As Of Date",,
"As of",,
"Ascending Order","ترتيب تصاعدي",
Asset,أصل,
"Attach Image","إرفاق صورة",
Attachment,المرفقات,
"Attempt count",,
August,أغسطس,
"Auth Token","رمز المصادقة",
"Auto Payments","المدفوعات التلقائية",
"Auto Stock Transfer","النقل التلقائي للمخزون",
"Auto-stage new Plaid batches into Bank Account Activity (For Review).",,
Autocomplete,"الإكمال التلقائي",
"Automatic updates are not enabled for this build.",,
"Available Loyalty Points","نقاط الولاء المتاحة",
Back,رجوع,
"Back Reference","مرجع خلفي",
"Bad import data, could not read file.","بيانات استيراد غير صحيحة، تعذر قراءة الملف.",
Balance,الرصيد,
"Balance Amount","مبلغ الرصيد",
"Balance Sheet","الميزانية العمومية",
"Balance as of today",,
Balanced,,
Bank,بنك,
"Bank Account Activity",,
"Bank Accounts","حسابات بنكية",
"Bank Entry","ادخالات البنوك",
"Bank Feed",,
"Bank Feed Settings",,
"Bank Name","اسم البنك",
"Bank Overdraft Account","حساب مصرفي السحب على المكشوف",
"Bank Statement",,
"Bank Statement Line",,
"Bank account",,
"Bank account balance",,
"Bank account created, but the opening balance could not be posted: ${0}",,
"Bank account name",,
"Bank feed",,
"Bank feed catch-up paused",,
"Bank feed updates applied to For Review.",,
"Bank feeds paused — acknowledge old import batches in Desktop to resume.",,
"Bank feeds paused — open Desktop and acknowledge old import batches to resume.",,
"Bank institution disconnected from Plaid. You can still use manual CSV uploads.",,
"Bank linked. Accounts will appear below after a short sync.",,
"Bank reference",,
"Bank sync paused. Verify your identity in LiveBooks Cloud to resume downloading transactions.",,
Banking,,
Barcode,الباركود,
"Barcode ${0} has an invalid length.","يحتوي الرمز الشريطي ${0} على طول غير صالح.",
"Barcode must be exactly 12 digits.","يجب أن يتكون الباركود من 12 رقمًا بالضبط.",
"Base Grand Total","إجمالي المبلغ الأساسي",
"Based On","استنادًا إلى",
Batch,دفعة,
"Batch ${0} does not belong to Item ${1}","الدفعة ${0} لا تنتمي إلى العنصر ${1}",
"Batch ${0} only has ${1} quantity available but ${2} is required",,
"Batch Series",,
"Batch Series cannot contain the following characters: /, ?, &, =, %",,
"Batch not set for row ${0}.","لم يتم تعيين الدفعة للصف ${0}.",
"Batch public id",,
"Batch set for row ${0}.","تم تعيين الدفعة للصف ${0}.",
"Beginning balance",,
"Beginning balance does not match your last closed reconciliation. A reconciled transaction may have been edited or deleted.",,
"Beginning balance may be off",,
Bill,,
"Bill Created","تم إنشاء الفاتورة",
Billing,الفوترة,
Billion,مليار,
Bills,,
Black,أسود,
Blue,أزرق,
"Book Id",,
"Book id",,
Both,كلاهما,
"Both From and To Location cannot be undefined","لا يمكن أن يكون كل من موقع الإرسال والاستلام غير محدد",
Buildings,المباني,
"Can Change Discount","يمكن تغيير الخصم",
"Can Change Rate","يمكن تغيير السعر",
Cancel,إلغاء,
"Cancel ${0}?","إلغاء ${0}؟",
"Cancel Button Colour","لون زر الإلغاء",
"Cancel or Delete an entry.","إلغاء أو حذف إدخال.",
Cancelled,ملغاة,
"Cannot Commit Error","لا يمكن تنفيذ الالتزام (خطأ)",
"Cannot Delete","لا يمكن الحذف",
"Cannot Delete Account","لا يمكن حذف الحساب",
"Cannot Export","لا يمكن التصدير",
"Cannot Import","لا يمكن الاستيراد",
"Cannot Move",,
"Cannot Open File","لا يمكن فتح الملف",
"Cannot add an item to a submitted invoice.","لا يمكن إضافة صنف إلى فاتورة مُرسلة.",
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","لا يمكن إلغاء ${0} ${1} بسبب ${2} التالي: ${3}",
"Cannot cancel ${0} because of the following ${1}: ${2}","لا يمكن إلغاء ${0} بسبب ${1} التالي: ${2}",
"Cannot delete ""${0}"" because it has linked ledger entries or other references.",,
"Cannot delete ${0} ""${1}"" because of linked entries.","لا يمكن حذف ${0} ""${1}"" بسبب الإدخالات المرتبطة.",
"Cannot make recurring",,
"Cannot open file","لا يمكن فتح الملف",
"Cannot perform operation.","لا يمكن تنفيذ العملية.",
"Cannot read file","لا يمكن قراءة الملف",
"Capital Equipments","معدات رأس المال",
"Capital Stock","رأس المال",
Cash,نقد,
"Cash Denominations","الفئات النقدية",
"Cash Entry","قيد نقدي",
"Cash In Denominations","النقد بالفئات",
"Cash In Hand","نقد في اليد",
Cashflow,"التدفق النقدي",
Category,,
"Category is required.",,
Ceil,"تقريب لأعلى",
"Central Tax","الضرائب المركزية",
"Change File","تغيير الملف",
"Change Ref Type","تغير نوع المرجع",
"Changes made to settings will be visible on reload.","التغييرات التي تم إجراؤها على الإعدادات ستظهر بعد إعادة التحميل.",
Chargeable,"قابل للتحصيل",
"Chart Of Accounts Reviewed","مراجعة دليل الحسابات",
"Chart of Accounts","دليل الحسابات",
"Chart of accounts (bank)",,
Check,تحقق,
"Check Digits","التحقق من الأرقام",
"Check for updates",,
"Checked in the reconcile workbench for this session.",,
"Checking for updates…",,
"Check Register",,
"Choose a chart of accounts bank account before saving.",,
"City / Town","المدينة / البلدة",
Classic,كلاسيكي,
Clear,مسح,
"Clear Synced Data From ERPNext SyncQueue","مسح البيانات المتزامنة من قائمة مزامنة ERPNext",
"Clearance Date","تاريخ التخليص",
"Clearance Date not set.","تاريخ التخليص غير محدد.",
Cleared,,
"Cleared balance",,
"Click Refresh to retry. If retries keep failing, contact support.",,
"Clicking continue will remove all the selected items.","سيؤدي النقر فوق ""متابعة"" إلى إزالة كافة العناصر المحددة.",
"Client Seq",,
Close,إغلاق,
"Close LiveBooks Desktop and try manually.",,
"Close POS Shift","إغلاق مناوبة نقطة البيع",
"Close Quick Search","إغلاق البحث السريع",
Closed,,
"Closed at",,
Closing,إغلاق,
"Closing ${0} Amount can not be negative.","لا يمكن أن يكون مبلغ الإغلاق ${0} سالبًا.",
"Closing (Cr)","إغلاق (دائن)",
"Closing (Dr)","إغلاق (مدين)",
"Closing Amount","مبلغ الإغلاق",
"Closing Amounts","مبالغ الاغلاق",
"Closing Cash","الاغلاق النقدي",
"Closing Cash In Denominations","إغلاق النقدية بالفئات",
"Closing Date","تاريخ الإغلاق",
"Closing balance on your statement (the target).",,
"Cloud statement id",,
Collapse,طي,
"Collection Factor","معامل التحصيل",
"Collection Rules","قواعد التحصيل",
Color,اللون,
Colour,لون,
"Column mapping",,
"Commission on Sales","عمولة المبيعات",
Common,عام,
Company,الشركة,
"Company Logo","شعار الشركة",
"Company Name","اسم الشركة",
"Company Setup","إعداد الشركة",
"Company file moved to ${0}.",,
"Company file moved to ${0}. The previous file could not be retired — please remove or rename it manually so it is not opened as a second copy.",,
Completed,مكتمل,
Condition,شرط,
"Connect Banks via Plaid",,
"Connection broken — sign in again.",,
"Connection healthy",,
"Consolidate Columns","دمج الأعمدة",
Contact,"جهة الاتصال",
Contacts,"بيانات الاتصال",
Contains,يحتوي,
"Content hash",,
Continue,متابعة,
"Continue submitting Invoice?",,
"Continue submitting Sales Invoice?","هل تريد الاستمرار في تسجيل فاتورة المبيعات؟",
"Contra Entry","قيد عكسي",
"Conversion Error","خطأ في التحويل",
"Conversion Factor","عامل التحويل",
Converted,"تم التحويل",
"Cost Of Goods Sold Acc.","حساب تكلفة البضاعة المباعة",
"Cost of Goods Sold","تكلفة البضائع المباعة",
"Could not add transaction.",,
"Could not check for updates.",,
"Could not connect to database file ${0}, please select the file manually","تعذّر الاتصال بملف قاعدة البيانات ${0}، يرجى تحديد الملف يدويًا",
"Could not disconnect bank feeds in LiveBooks Cloud. The local company file will still be deleted.",,
"Could not open the company at ${0}. Please reopen it from the company list.",,
"Could not re-fetch prior bank batches. Upload a CSV/OFX if history is missing.",,
"Could not reach the update server. Check your connection and try again.",,
"Could not reactivate feed.",,
"Could not resolve your cloud book for this company file.",,
"Could not save bank connection.",,
"Could not start Plaid Link.",,
"Couldn't find a parent account in the chart of accounts. Add a Bank Accounts (or Liability) group first.",,
"Couldn't finish setting up the bank account.",,
"Couldn't load transactions.",,
"Couldn't save the bank account. Please try again.",,
"Couldn't save the bank account: ${0}",,
"Couldn't save the statement. Please try again.",,
Count,العدد,
"Counter Cash Account","حساب النقدية في الخزينة",
Country,البلد,
"Country Code","رمز البلد",
"Country code used to initialize regional settings.","رمز البلد يُستخدم لتهيئة الإعدادات الإقليمية",
"Coupon ${0} is not applicable for applied items.","القسيمة ${0} غير قابلة للتطبيق على الأصناف المطبقة.",
"Coupon Code","رمز القسيمة",
"Coupon Name","اسم القسيمة",
Coupons,القسائم,
Courier,"خدمة التوصيل",
Cr.,دائن,
"Cr. ${0}","دائن ${0}",
Create,إنشاء,
"Create Demo","إنشاء نموذج تجريبي",
"Create Payment.","إنشاء دفعة.",
"Create Purchase","إنشاء مشتريات",
"Create Purchase Invoice","إنشاء فاتورة مشتريات",
"Create Sale","إنشاء مبيعات",
"Create Sales Invoice","إنشاء فاتورة مبيعات",
"Create a demo company to try out LiveBooks Desktop",,
"Create a new company and store it on your computer","أنشئ شركة جديدة وخزّنها على جهازك",
"Create a new company or select an existing one from your computer","أنشئ شركة جديدة أو اختر شركة موجودة من جهازك",
"Create a new entry of the same type as the List View","أنشئ إدخالًا جديدًا من نفس النوع كما في عرض القائمة",
"Create all due",,
"Create new ${0} entry?","إنشاء إدخال ${0} جديد؟",
"Create your first purchase invoice from the created supplier","أنشئ أول فاتورة شراء من المورد الذي تم إنشاؤه",
"Create your first sales invoice for the created customer","أنشئ أول فاتورة مبيعات للعميل الذي تم إنشاؤه",
"Create: ${0}",,
Created,"تم الإنشاء",
"Created ${0} recurring payments",,
"Created 1 recurring payment",,
"Created At",,
"Created By","تم الإنشاء بواسطة",
"Created recurring payment",,
"Creating Items and Parties","إنشاء الأصناف والأطراف",
"Creating Journal Entries","إنشاء قيود يومية",
