"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} पहिले नै अवस्थित छ।",
"${0} ${1} does not exist","${0} ${1} अवस्थित छैन।",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} लोड गरिसकेपछि परिमार्जन गरिएको छ कृपया एन्ट्री पुन: लोड गर्नुहोस्।",
"${0} ${1} is linked with existing records.","${0} ${1} अवस्थित रेकर्डहरूसँग जोडिएको छ।",
"${0} account not set in Inventory Settings.","${0} खाता सूची सेटिङहरूमा सेट गरिएको छैन।",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} पहिले नै दाखिला गरिएको छ",
"${0} already submitted","${0} पहिले नै पेश गरिएको छ",
"${0} before ${1}",,
"${0} cancelled","${0} रद्द गरियो",
"${0} cannot be cancelled","${0} रद्द गर्न सकिँदैन",
"${0} cannot be deleted","${0} मेटाउन सकिँदैन",
"${0} deleted","${0} मेटाइयो",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} एन्ट्रीहरू असफल भयो",
"${0} entries imported","${0} एन्ट्रीहरू आयात गरियो",
"${0} entry failed","${0} एन्ट्री असफल भयो",
"${0} entry imported","${0} एन्ट्री आयात गरियो",
"${0} fields selected","${0} फिल्डहरू चयन गरियो",
"${0} filters applied","${0} फिल्टरहरू लागू गरियो",
"${0} of type ${1} does not exist","${0} प्रकार ${1} अवस्थित छैन",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${1} मध्ये ${0}",
"${0} party ${1} is different from ${2}","${0} पार्टी ${1} ${2} भन्दा फरक छ",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} मात्रा १ थपियो।",
"${0} row added.","${0} पंक्ति थपियो।",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} पङ्क्तिहरू",
"${0} rows added.","${0} पङ्क्तिहरू थपियो।",
"${0} saved","${0} दाखिला गरियो",
"${0} shortcuts","${0} सर्टकटहरू",
"${0} stored at ${1}","${0} ${1} मा भण्डारण गरियो",
"${0} submitted","${0} पेश गरियो",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","${0} मान ${1} अवस्थित छैन।",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,०%,
0.00,,
03-23-2022,०३-२३-२०२२,
03/23/2022,०३/२३/२०२२,
"1 filter applied","१ फिल्टर लागू गरियो",
1–30,,
2022-03-23,२०२२-०३-२३,
"23 Mar, 2022","२३ मार्च, २०२२",
23-03-2022,२३-०३-२०२२,
23.03.2022,२३.०३.२०२२,
23/03/2022,२३/०३/२०२२,
31–60,,
61–90,,
91+,,
9888900000,९८८८९०००००,
"A submittable entry is deleted only if it is in the cancelled state.","पेश गर्न मिल्ने एन्ट्री रद्द गरिएको अवस्थामा मात्र मेटाइन्छ।",
"API Base URL",,
Account,खाता,
"Account ${0} does not exist.","खाता ${0} अवस्थित छैन।",
"Account Deleted",,
"Account Entries","खाता एन्ट्रीहरू",
"Account Name","खाताको नाम",
"Account Type","खाताको प्रकार",
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,लेखा,
"Accounting Entries","लेखा एन्ट्रीहरू",
"Accounting Ledger Entry","लेखा खाता एन्ट्री",
"Accounting Settings","लेखा सेटिङहरू",
Accounts,खाताहरू,
"Accounts Payable","भुक्तानी योग्य खाताहरू",
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable","प्राप्तयोग्य खाताहरू",
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation","संचित मूल्यह्रास",
"Ack failed",,
"Ack pending",,
Action,कार्य,
Actions,,
Active,सक्रिय,
Add,,
"Add Account","खाता थप्नुहोस्",
"Add Customers","ग्राहकहरू थप्नुहोस्",
"Add Group","समूह थप्नुहोस्",
"Add Items","वस्तुहरू थप्नुहोस्",
"Add Row","पङ्क्ति थप्नुहोस्",
"Add Suppliers","आपूर्तिकर्ता थप्नुहोस्",
"Add Taxes","करहरू थप्नुहोस्",
"Add a few customers to create your first sales invoice","आफ्नो पहिलो बिक्री बीजक सिर्जना गर्न केही ग्राहकहरू थप्नुहोस्",
"Add a few suppliers to create your first purchase invoice","आफ्नो पहिलो खरिद बीजक सिर्जना गर्न केही आपूर्तिकर्ताहरू थप्नुहोस्",
"Add a filter","फिल्टर थप्नुहोस्",
"Add a missing transaction",,
"Add a remark","टिप्पणी थप्नुहोस्",
"Add attachment","संलग्नक थप्नुहोस्",
"Add invoice terms","बीजक सर्तहरू थप्नुहोस्",
"Add products or services that you buy from your suppliers","तपाईंले आफ्ना आपूर्तिकर्ताहरूबाट खरिद गर्नुभएको उत्पादन वा सेवाहरू थप्नुहोस्",
"Add products or services that you sell to your customers","तपाईंले आफ्ना ग्राहकहरूलाई बेच्ने उत्पादन वा सेवाहरू थप्नुहोस्",
"Add quote terms",,
"Add transfer terms","स्थानान्तरण सर्तहरू थप्नुहोस्",
"Add'l Discounts",,
"Added to ledger as ${0}.",,
"Added to ledger.",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","${2} को ${1} मात्राको लागि थप ${0} क्रम संख्याहरू आवश्यक छ।",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","अतिरिक्त मात्रा (${0}) आवश्यक छ ${1} वस्तुको बाहिरी स्थानान्तरण गर्न ${2} ${3} बाट ${4} मा",
Address,ठेगाना,
"Address Display","ठेगाना प्रदर्शन",
"Address Line 1","ठेगाना लाइन १",
"Address Line 2","ठेगाना लाइन २",
"Address Name","ठेगाना नाम",
"Adjust interface size in 10% steps",,
"Administrative Expenses","प्रशासनिक खर्च",
Alert,,
All,सबै,
"Allow to bypass filters",,
Amount,रकम,
"Amount (bank)",,
"Amount Paid","तिरीएको रकम",
"Amount must be greater than 0.",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","रकम: ${0} र राइटअफ: ${1} सन्दर्भहरूमा छुट्याइएको कुल रकम भन्दा कम छ: ${2}।",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","रकम: ${0} सन्दर्भहरूमा छुट्याइएको कुल रकम भन्दा कम छ: ${1}।",
Amounts,रकम,
"An account with this name already exists.",,
"An entry is cancelled only if it is in the submitted state.","पेश गरिएको अवस्थामा मात्र एन्ट्री रद्द हुन्छ।",
"An entry is submitted only if it is submittable and is in the saved state.","एन्ट्री मात्र पेश गरिन्छ यदि यो पेश गर्न योग्य छ र दाखिल अवस्थामा छ।",
"An error occurred.","एउटा त्रुटि भयो।",
And,,
Annual,,
"Applicable anywhere in LiveBooks Desktop",,
"Applicable when POS is open",,
"Applicable when Quick Search is open","द्रुत खोज खुला हुँदा लागू हुन्छ",
"Applicable when Template Builder is open","टेम्प्लेट बिल्डर खुला हुँदा लागू हुन्छ",
"Applicable when a entry is open in the Form view or Quick Edit view","फारम भ्यू वा द्रुत सम्पादन भ्यूमा एन्ट्री खुला हुँदा लागू हुन्छ",
"Applicable when the List View of an entry type is open","एन्ट्री प्रकारको सूची भ्यू खुला हुँदा लागू हुन्छ",
"Application of Funds (Assets)","कोषको आवेदन (सम्पत्ति)",
"Applied Coupon Codes",,
"Applied Items",,
"Applied count",,
Apply,,
"Apply Discount After Tax","कर पछि छूट लागू गर्नुहोस्",
"Apply Price List",,
"Apply and view changes made to the print template","प्रिन्ट टेम्प्लेटमा गरिएका परिवर्तनहरू लागू गर्नुहोस् र हेर्नुहोस्",
Applying,,
"Applying bank feed updates…",,
April,अप्रिल,
"Archive account",,
"Archive account and disconnect bank from Plaid?",,
"Archive and disconnect institution",,
"Archive this account?",,
"Archived bank accounts stay in the ledger for history but are hidden from bank feeds and most pickers.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. Automatic imports for this Plaid sub-account stop; other linked accounts under ${1} can keep syncing.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. This is the last sub-account still syncing under ${1}; archiving will also disconnect the entire institution from Plaid until you connect the bank again.",,
"Archiving hides this account from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded.",,
Arial,एरियल,
"As Of Date",,
"As of",,
"Ascending Order","आरोही क्रम",
Asset,सम्पत्ति,
"Attach Image","फोटो संलग्न गर्नुहोस्",
Attachment,संलग्नक,
"Attempt count",,
August,अगस्ट,
"Auth Token",,
"Auto Payments","स्वत: भुक्तानी",
"Auto Stock Transfer","स्वत: स्टक स्थानान्तरण",
"Auto-stage new Plaid batches into Bank Account Activity (For Review).",,
Autocomplete,"स्वत: पूर्ण",
"Automatic updates are not enabled for this build.",,
"Available Loyalty Points",,
Back,,
"Back Reference","पछाडि सन्दर्भ",
"Bad import data, could not read file.","खराब आयात डाटा, फाइल पढ्न सकेन।",
Balance,ब्यालेन्स,
"Balance Amount",,
"Balance Sheet","सन्तुलन परीक्षा",
"Balance as of today",,
Balanced,,
Bank,बैंक,
"Bank Account Activity",,
"Bank Accounts","बैंक खाताहरू",
"Bank Entry","बैंक एन्ट्री",
"Bank Feed",,
"Bank Feed Settings",,
"Bank Name","बैंक नाम",
"Bank Overdraft Account","बैंक ओभरड्राफ्ट खाता",
"Bank Statement",,
"Bank Statement Line",,
"Bank account",,
"Bank account balance",,
"Bank account created, but the opening balance could not be posted: ${0}",,
"Bank account name",,
"Bank feed",,
"Bank feed catch-up paused",,
"Bank feed updates applied to For Review.",,
"Bank feeds paused — acknowledge old import batches in Desktop to resume.",,
"Bank feeds paused — open Desktop and acknowledge old import batches to resume.",,
"Bank institution disconnected from Plaid. You can still use manual CSV uploads.",,
"Bank linked. Accounts will appear below after a short sync.",,
"Bank reference",,
"Bank sync paused. Verify your identity in LiveBooks Cloud to resume downloading transactions.",,
Banking,,
Barcode,बारकोड,
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total","आधार कुल",
"Based On","मा आधारित",
Batch,ब्याच,
"Batch ${0} does not belong to Item ${1}",,
"Batch ${0} only has ${1} quantity available but ${2} is required",,
"Batch Series",,
"Batch Series cannot contain the following characters: /, ?, &, =, %",,
"Batch not set for row ${0}.","पङ्क्ति ${0} को लागि ब्याच सेट गरिएको छैन।",
"Batch public id",,
"Batch set for row ${0}.","पङ्क्ति ${0} को लागि ब्याच सेट।",
"Beginning balance",,
"Beginning balance does not match your last closed reconciliation. A reconciled transaction may have been edited or deleted.",,
"Beginning balance may be off",,
Bill,,
"Bill Created","बिल बनाइयो",
Billing,बिलिङ,
Billion,,
Bills,,
Black,कालो,
Blue,निलो,
"Book Id",,
"Book id",,
Both,दुबै,
"Both From and To Location cannot be undefined","दुबै स्थानबाट र स्थान अपरिभाषित हुन सक्दैन",
Buildings,भवनहरू,
"Can Change Discount",,
"Can Change Rate",,
Cancel,"रद्द गर्नुहोस्",
"Cancel ${0}?","${0} रद्द गर्ने हो?",
"Cancel Button Colour",,
"Cancel or Delete an entry.","रद्द गर्नुहोस् वा एन्ट्री मेटाउनुहोस्।",
Cancelled,"रद्द गरियो",
"Cannot Commit Error","त्रुटि कमिट गर्न सकिँदैन",
"Cannot Delete","मेटाउन सकिँदैन",
"Cannot Delete Account","खाता मेटाउन सकिँदैन",
"Cannot Export","निर्यात गर्न सकिँदैन",
"Cannot Import","आयात गर्न सकिँदैन",
"Cannot Move",,
"Cannot Open File","फाइल खोल्न सकिँदैन",
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","निम्न ${2} को कारणले गर्दा ${0} ${1} रद्द गर्न सकिँदैन: ${3}",
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ""${0}"" because it has linked ledger entries or other references.",,
"Cannot delete ${0} ""${1}"" because of linked entries.","लिङ्क गरिएका एन्ट्रीहरूको कारण ${0} ""${1}"" मेटाउन सकिँदैन।",
"Cannot make recurring",,
"Cannot open file","फाइल खोल्न सकिँदैन",
"Cannot perform operation.","सञ्चालन गर्न सकिँदैन।",
"Cannot read file","फाइल पढ्न सकिँदैन",
"Capital Equipments","पूंजी उपकरणहरू",
"Capital Stock","पुँजी स्टक",
Cash,नगद,
"Cash Denominations",,
"Cash Entry","नगद एन्ट्री",
"Cash In Denominations",,
"Cash In Hand","हातमा नगद",
Cashflow,"नगद प्रवाह",
Category,,
"Category is required.",,
Ceil,,
"Central Tax","केन्द्रीय कर",
"Change File","फाइल परिवर्तन गर्नुहोस्",
"Change Ref Type","रेफ प्रकार परिवर्तन गर्नुहोस्",
"Changes made to settings will be visible on reload.","सेटिङहरूमा गरिएका परिवर्तनहरू पुनः लोड गर्दा देखिने छन्।",
Chargeable,चार्जयोग्य,
"Chart Of Accounts Reviewed","लेखाको चार्ट समीक्षा गरियो",
"Chart of Accounts","लेखाको चार्ट",
"Chart of accounts (bank)",,
Check,"जाँच गर्नुहोस्",
"Check Digits",,
"Check for updates",,
"Checked in the reconcile workbench for this session.",,
"Checking for updates…",,
"Check Register",,
"Choose a chart of accounts bank account before saving.",,
"City / Town","शहर / नगर",
Classic,,
Clear,"खाली गर्नुहोस्",
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date","क्लियरेन्स मिति",
"Clearance Date not set.",,
Cleared,,
"Cleared balance",,
"Click Refresh to retry. If retries keep failing, contact support.",,
"Clicking continue will remove all the selected items.",,
"Client Seq",,
Close,"बन्द गर्नुहोस्",
"Close LiveBooks Desktop and try manually.",,
"Close POS Shift",,
"Close Quick Search","द्रुत खोज बन्द गर्नुहोस्",
Closed,,
"Closed at",,
Closing,क्लोजिंग,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","क्लोजिंग (Cr)",
"Closing (Dr)","क्लोजिंग (Dr)",
"Closing Amount",,
"Closing Amounts",,
"Closing Cash",,
"Closing Cash In Denominations",,
"Closing Date",,
"Closing balance on your statement (the target).",,
"Cloud statement id",,
Collapse,"संक्षिप्त गर्नुहोस्",
"Collection Factor",,
"Collection Rules",,
Color,रंग,
Colour,,
"Column mapping",,
"Commission on Sales","बिक्री मा आयोग",
Common,सामान्य,
Company,कम्पनी,
"Company Logo","कम्पनीको लोगो",
"Company Name","कम्पनीको नाम",
"Company Setup","कम्पनी सेटअप",
"Company file moved to ${0}.",,
"Company file moved to ${0}. The previous file could not be retired — please remove or rename it manually so it is not opened as a second copy.",,
Completed,"पूरा भयो",
Condition,अवस्था,
"Connect Banks via Plaid",,
"Connection broken — sign in again.",,
"Connection healthy",,
"Consolidate Columns","स्तम्भहरू समेकित गर्नुहोस्",
Contact,,
Contacts,सम्पर्कहरू,
Contains,"समावेश गर्दछ",
"Content hash",,
Continue,,
"Continue submitting Invoice?",,
"Continue submitting Sales Invoice?","बिक्री बीजक पेश गर्न जारी राख्नुहुन्छ?",
"Contra Entry","कन्ट्रा एन्ट्री",
"Conversion Error","रूपान्तरण त्रुटि",
"Conversion Factor","रूपान्तरण कारक",
Converted,,
"Cost Of Goods Sold Acc.","सामान बेचेको खाताको लागत",
"Cost of Goods Sold","बेचेको सामानको लागत",
"Could not add transaction.",,
"Could not check for updates.",,
"Could not connect to database file ${0}, please select the file manually","डाटाबेस फाइल ${0} मा जडान गर्न सकिएन, कृपया फाइल म्यानुअल रूपमा छान्नुहोस्",
"Could not disconnect bank feeds in LiveBooks Cloud. The local company file will still be deleted.",,
"Could not open the company at ${0}. Please reopen it from the company list.",,
