"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} existe déjà.",
"${0} ${1} does not exist","${0} ${1} n'existe pas",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} à été modifié après son chargement, rechargez l'entrée",
"${0} ${1} is linked with existing records.","${0} ${1} est lié à des enregistrements existants.",
"${0} account not set in Inventory Settings.","${0} compte non défini dans les paramètres d'inventaire",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} déjà sauvegardé",
"${0} already submitted","${0} déjà validé",
"${0} before ${1}",,
"${0} cancelled","${0} annulé",
"${0} cannot be cancelled","${0} ne peut pas être annulé",
"${0} cannot be deleted","${0} ne peut pas être supprimé",
"${0} deleted","${0} supprimé",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} entrées en échec",
"${0} entries imported","${0} entrées importées",
"${0} entry failed","${0} entrée en échec",
"${0} entry imported","${0} entrée importée",
"${0} fields selected","${0} champs sélectionnés",
"${0} filters applied","${0} filtres appliqués",
"${0} of type ${1} does not exist","${0} de type ${1} n'existe pas",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} parmi ${1}",
"${0} party ${1} is different from ${2}","${0} tiers ${1} est différent de ${2}",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} quantité 1 ajoutée.",
"${0} row added.","${0} ligne ajoutée.",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} lignes",
"${0} rows added.","${0} lignes ajoutées",
"${0} saved","${0} sauvegardé",
"${0} shortcuts","${0} raccourcis clavier",
"${0} stored at ${1}","${0} enregistré à ${1}",
"${0} submitted","${0} validé",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","${0} valeur ${1} n'existe pas.",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,0%,
0.00,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filtre appliqué",
1–30,,
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
31–60,,
61–90,,
91+,,
9888900000,"06 12 34 56 78",
