"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} finns redan.",
"${0} ${1} does not exist","${0} ${1} existerar inte",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} har ändrats efter laddning, ladda om posten.",
"${0} ${1} is linked with existing records.","${0} ${1} är kopplad till befintliga poster.",
"${0} account not set in Inventory Settings.","${0} Kontot är inte inställt i inventeringsinställningar.",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} redan sparat",
"${0} already submitted","${0} redan inlämnad",
"${0} before ${1}",,
"${0} cancelled","${0} avbruten",
"${0} cannot be cancelled","${0} kan inte avbrytas",
"${0} cannot be deleted","${0} kan inte raderas",
"${0} deleted","${0} raderad",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} poster misslyckades",
"${0} entries imported","${0} poster importerade",
"${0} entry failed","${0} post misslyckades",
"${0} entry imported","${0} post importerades",
"${0} fields selected","${0} valda fält",
"${0} filters applied","${0} filter tillämpade",
"${0} of type ${1} does not exist","${0} av typ ${1} finns inte",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} av ${1}",
"${0} party ${1} is different from ${2}","${0} party ${1} skiljer sig från ${2}",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} kvantitet 1 tillagd.",
"${0} row added.","${0} rad tillagd.",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} rader",
"${0} rows added.","${0} rader tillagda.",
"${0} saved","${0} sparad",
"${0} shortcuts","${0} genvägar",
"${0} stored at ${1}","${0} lagrad vid ${1}",
"${0} submitted","${0} inlämnad",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","${0} värde ${1} finns inte.",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,,
0.00,,
03-23-2022,03-23-2022,
03/23/2022,,
"1 filter applied","1 filter applicerat",
1–30,,
2022-03-23,2022-03-23,
"23 Mar, 2022","23 mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
