"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} પહેલાથી અસ્તિત્વમાં છે.",
"${0} ${1} does not exist","${0} ${1} અસ્તિત્વમાં નથી",
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} હાલમાં રેકોર્ડ્સ સાથે જોડાયેલ છે.",
"${0} account not set in Inventory Settings.","${0} ખાતું માલસૂચી સંયોજન માં સક્ષમ નથી",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved",,
"${0} already submitted",,
"${0} before ${1}",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} duplicate(s) skipped.",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected","${0} ખાનાઓ લાગુ",
"${0} filters applied","${0} તપાસો લાગુ",
"${0} of type ${1} does not exist","${0}નો પ્રકાર ${1} અસ્તિત્વ માં નથી",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${1} માંથી ${0}",
"${0} party ${1} is different from ${2}","${0} {1} પેઢી ${2} થી અલગ છે",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} માત્રા 1 ઉમેરાણી",
"${0} row added.",,
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} પંક્તિઓ",
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","{0} મૂલ્ય ${1} અસ્તિત્વમાં નથી",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,0%,
0.00,,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","1 તપાસ લાગુ",
1–30,,
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,23-03-2022,
23.03.2022,,
23/03/2022,,
31–60,,
61–90,,
91+,,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.",,
"API Base URL",,
Account,ખાતું,
"Account ${0} does not exist.","${0} ખાતું અસ્તિત્વ માં નથી",
"Account Deleted",,
"Account Entries","ખાતા લેવડદેવડ",
"Account Name","ખાતા નું નામ",
"Account Type","ખાતાના પ્રકાર",
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,,
"Accounting Entries","હિસાબી લેવડદેવડ",
"Accounting Ledger Entry","ખાતાવહી ખતવણી",
"Accounting Settings","હિસાબી સંયોજન",
Accounts,હિસાબ,
"Accounts Payable","ચુકવવાપાત્ર ખાતાઓ",
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable","મળવાપાત્ર હિસાબ",
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation","સંચિત અવમૂલ્યન",
"Ack failed",,
"Ack pending",,
Action,,
Actions,,
Active,,
Add,,
"Add Account","ખાતું ઉમેરો",
"Add Customers","ગ્રાહકો ઉમેરો",
"Add Group","સમૂહ ઉમેરો",
"Add Items","ઉત્પાદન ઉમેરો",
"Add Row","વિગત ઉમેરો",
"Add Suppliers","વિક્રેતાઓ ઉમેરો",
"Add Taxes","કરવેરા ઉમેરો",
"Add a few customers to create your first sales invoice","પ્રથમ વેચાણ ભરતિયું નિર્માણ કરવા પહેલા થોડાક ગ્રાહક ઉમેરો",
"Add a few suppliers to create your first purchase invoice","પ્રથમ ખરીદી ભરતિયું નિર્માણ કરવા પહેલા થોડાક વિક્રેતા ઉમેરો",
"Add a filter","તપાસ ઉમેરો",
"Add a missing transaction",,
"Add a remark","એક ટિપ્પણી ઉમેરો",
"Add attachment","ટાંચ ઉમેરો",
"Add invoice terms","બિલ શરતો ઉમેરો",
"Add products or services that you buy from your suppliers","તમે તમારા વિક્રેતા પાસેથી ખરીદેલા ઉત્પાદનો અથવા સેવાઓ ઉમેરો",
"Add products or services that you sell to your customers","તમે તમારા ગ્રાહકોને વેચતા ઉત્પાદનો અથવા સેવાઓ ઉમેરો",
"Add quote terms",,
"Add transfer terms","સ્થળાંતર શરતો ઉમેરો",
"Add'l Discounts",,
"Added to ledger as ${0}.",,
"Added to ledger.",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,સરનામું,
"Address Display","પ્રદર્શિત સરનામુ",
"Address Line 1","સરનામું કડી 1",
"Address Line 2","સરનામુ કડી 2",
"Address Name",,
"Adjust interface size in 10% steps",,
"Administrative Expenses","વહીવટી ખર્ચ",
Alert,,
All,બધા,
"Allow to bypass filters",,
Amount,રકમ,
"Amount (bank)",,
"Amount Paid","ચૂકવેલ રકમ",
"Amount must be greater than 0.",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","રકમ: ${0} અને રાઇટઓફ: ${1} સંદર્ભોને ફાળવવામાં આવેલી કુલ રકમ કરતા ઓછી છે: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","રકમ: ${0} સંદર્ભોને ફાળવવામાં આવેલી કુલ રકમ કરતા ઓછી છે: ${1}.",
Amounts,,
"An account with this name already exists.",,
"An entry is cancelled only if it is in the submitted state.",,
"An entry is submitted only if it is submittable and is in the saved state.",,
"An error occurred.","એક ચૂક આવી.",
And,,
Annual,,
"Applicable anywhere in LiveBooks Desktop",,
"Applicable when POS is open",,
"Applicable when Quick Search is open",,
"Applicable when Template Builder is open",,
"Applicable when a entry is open in the Form view or Quick Edit view",,
"Applicable when the List View of an entry type is open",,
"Application of Funds (Assets)","ભંડોળ વપરાશ (રોકાણ)",
"Applied Coupon Codes",,
"Applied Items",,
"Applied count",,
Apply,,
"Apply Discount After Tax",,
"Apply Price List",,
"Apply and view changes made to the print template",,
Applying,,
"Applying bank feed updates…",,
April,એપ્રિલ,
"Archive account",,
"Archive account and disconnect bank from Plaid?",,
"Archive and disconnect institution",,
"Archive this account?",,
"Archived bank accounts stay in the ledger for history but are hidden from bank feeds and most pickers.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. Automatic imports for this Plaid sub-account stop; other linked accounts under ${1} can keep syncing.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. This is the last sub-account still syncing under ${1}; archiving will also disconnect the entire institution from Plaid until you connect the bank again.",,
"Archiving hides this account from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded.",,
Arial,Arial,
"As Of Date",,
"As of",,
"Ascending Order","ચડતો હુકમ",
Asset,રોકાણ,
"Attach Image",,
Attachment,સંપેતરું,
"Attempt count",,
August,ઓગસ્ટ,
"Auth Token",,
"Auto Payments",,
"Auto Stock Transfer",,
"Auto-stage new Plaid batches into Bank Account Activity (For Review).",,
Autocomplete,,
"Automatic updates are not enabled for this build.",,
"Available Loyalty Points",,
Back,,
"Back Reference","ઊલટ સંદર્ભ",
"Bad import data, could not read file.",,
Balance,સિલક,
"Balance Amount",,
"Balance Sheet","પાકું સરવૈયું",
"Balance as of today",,
Balanced,,
Bank,બેંક,
"Bank Account Activity",,
"Bank Accounts","બેંક ખાતા",
"Bank Entry","બેંક ખતવણી",
"Bank Feed",,
"Bank Feed Settings",,
"Bank Name","બેંકનું નામ",
"Bank Overdraft Account","બેંક ઓવરડ્રાફ્ટ ખાતું",
"Bank Statement",,
"Bank Statement Line",,
"Bank account",,
"Bank account balance",,
"Bank account created, but the opening balance could not be posted: ${0}",,
"Bank account name",,
"Bank feed",,
"Bank feed catch-up paused",,
"Bank feed updates applied to For Review.",,
"Bank feeds paused — acknowledge old import batches in Desktop to resume.",,
"Bank feeds paused — open Desktop and acknowledge old import batches to resume.",,
"Bank institution disconnected from Plaid. You can still use manual CSV uploads.",,
"Bank linked. Accounts will appear below after a short sync.",,
"Bank reference",,
"Bank sync paused. Verify your identity in LiveBooks Cloud to resume downloading transactions.",,
Banking,,
Barcode,બારકોડ,
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total","પ્રમુખ કુલ રકમ",
"Based On","આના આધારે",
Batch,,
"Batch ${0} does not belong to Item ${1}",,
"Batch ${0} only has ${1} quantity available but ${2} is required",,
"Batch Series",,
"Batch Series cannot contain the following characters: /, ?, &, =, %",,
"Batch not set for row ${0}.",,
"Batch public id",,
"Batch set for row ${0}.",,
"Beginning balance",,
"Beginning balance does not match your last closed reconciliation. A reconciled transaction may have been edited or deleted.",,
"Beginning balance may be off",,
Bill,,
"Bill Created","બિલ નિર્માણ",
Billing,,
Billion,,
Bills,,
Black,Black,
Blue,Blue,
"Book Id",,
"Book id",,
Both,બંને,
"Both From and To Location cannot be undefined","બન્ને થકી અને પ્રત્યે સ્થળ ખાલી હોય શકે નહીં",
Buildings,મકાનો,
"Can Change Discount",,
"Can Change Rate",,
Cancel,ફોક,
"Cancel ${0}?",,
"Cancel Button Colour",,
"Cancel or Delete an entry.",,
Cancelled,"ફોક કરાયેલ",
"Cannot Commit Error",,
"Cannot Delete","કાઢી શકાય તેમ નથી",
"Cannot Delete Account",,
"Cannot Export",,
"Cannot Import",,
"Cannot Move",,
"Cannot Open File",,
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","${2} ના કારણે ${0} {1} ફોક થાઈ તેમ નથી : ${3}",
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ""${0}"" because it has linked ledger entries or other references.",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot make recurring",,
"Cannot open file",,
"Cannot perform operation.","પ્રક્રિયા નહીં થઈ શકે.",
"Cannot read file",,
"Capital Equipments","મૂડીનાં સાધનો",
"Capital Stock","મૂડીનો હિસ્સો",
Cash,રોકડ,
"Cash Denominations",,
"Cash Entry","રોકડ ખતવણી",
"Cash In Denominations",,
"Cash In Hand","હાથ પર રોકડ",
Cashflow,"રોકડ પ્રવાહ",
Category,,
"Category is required.",,
Ceil,,
"Central Tax","કેન્દ્રીય કર",
"Change File","ફાઈલ બદલો",
"Change Ref Type","સંદર્ભ પ્રકાર બદલો",
"Changes made to settings will be visible on reload.",,
Chargeable,તહોમતપાત્ર,
"Chart Of Accounts Reviewed","હિસાબી આલેખ સમીક્ષા",
