"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} bestaat al.",
"${0} ${1} does not exist","${0} ${1} bestaat niet",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} is gewijzigd na het laden laad de invoer opnieuw.",
"${0} ${1} is linked with existing records.","${0} ${1} is gekoppeld aan bestaande records.",
"${0} account not set in Inventory Settings.","${0} account niet ingesteld in Inventarisinstellingen.",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} reeds opgeslagen",
"${0} already submitted","${0} reeds ingediend",
"${0} before ${1}",,
"${0} cancelled","${0} geannuleerd",
"${0} cannot be cancelled","${0} kan niet worden geannuleerd",
"${0} cannot be deleted","${0} kan niet worden verwijderd",
"${0} deleted","${0} verwijderd",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} invoeren mislukt",
"${0} entries imported","${0} gegevens geïmporteerd",
"${0} entry failed","${0} invoer mislukt",
"${0} entry imported","${0} invoer geïmporteerd",
"${0} fields selected","${0} velden geselecteerd",
"${0} filters applied","${0} filters toegepast",
"${0} of type ${1} does not exist","${0} van het type ${1} bestaat niet",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} van ${1}",
"${0} party ${1} is different from ${2}","${0} partij ${1} verschilt van ${2}",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","${0} hoeveelheid 1 toegevoegd.",
"${0} row added.","${0} rij toegevoegd.",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} rijen",
"${0} rows added.","${0} rijen toegevoegd.",
"${0} saved","${0} opgeslagen",
"${0} shortcuts","${0} snelkoppelingen",
"${0} stored at ${1}","${0} opgeslagen in ${1}",
"${0} submitted","${0} Ingezonden",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","${0} waarde ${1} bestaat niet.",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,,
0.00,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filter toegepast",
1–30,,
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
31–60,,
61–90,,
91+,,
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.","Een in te dienen item wordt alleen verwijderd als het zich in de status geannuleerd bevindt.",
"API Base URL",,
Account,Rekening,
"Account ${0} does not exist.","Rekening ${0} bestaat niet.",
"Account Deleted",,
"Account Entries",Boekingen,
"Account Name","Rekening Naam",
"Account Type","Rekening Type",
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,Boekhouding,
"Accounting Entries",Boekhoudgegevens,
"Accounting Ledger Entry",Grootboekboeking,
"Accounting Settings","Boekhoud Instellingen",
Accounts,Rekeningen,
"Accounts Payable",Crediteuren,
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable",Debiteuren,
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation","Opgebouwde Afschrijvingen",
"Ack failed",,
"Ack pending",,
Action,Actie,
Actions,,
Active,Actief,
Add,,
"Add Account","Rekening Toevoegen",
"Add Customers","Klanten Toevoegen",
"Add Group","Groep Toevoegen",
"Add Items","Artikelen Toevoegen",
"Add Row","Rij Toevoegen",
"Add Suppliers","Leveranciers Toevoegen",
"Add Taxes","Belastingen Toevoegen",
"Add a few customers to create your first sales invoice","Voeg enkele klanten toe om uw eerste verkoopfactuur te maken",
"Add a few suppliers to create your first purchase invoice","Voeg een paar leveranciers toe om uw eerste inkoopfactuur te maken",
"Add a filter","Filter toevoegen",
"Add a missing transaction",,
"Add a remark","Opmerking toevoegen",
"Add attachment","Bijlage toevoegen",
"Add invoice terms","Factuurvoorwaarden toevoegen",
"Add products or services that you buy from your suppliers","Voeg producten of diensten toe die u van uw leveranciers inkoopt",
"Add products or services that you sell to your customers","Voeg producten of diensten toe die u aan uw klanten verkoopt",
"Add quote terms",,
"Add transfer terms","Transfervoorwaarden toevoegen",
"Add'l Discounts","Extra Kortingen",
"Added to ledger as ${0}.",,
"Added to ledger.",,
